pseudo_bulk	cluster	annotation
C95_Carp_S02	1	epithelial
C96_Carp_S02	0	myeloid
C99_Carp_S02	0	myeloid
C9_Carp_S02	5	fibroblast
I107_Carp_S02	6	endothelial
I115_Carp_S02	1	epithelial
I120_Carp_S02	1	epithelial
I121_Carp_S02	6	endothelial
I122_Carp_S02	1	epithelial
I127_Carp_S02	1	epithelial
I13_Carp_S02	1	epithelial
I144_Carp_S02	4	epithelial_malignant
I150_Carp_S02	1	epithelial
I152_Carp_S02	4	epithelial_malignant
I156_Carp_S02	4	epithelial_malignant
I157_Carp_S02	1	epithelial
I158_Carp_S02	4	epithelial_malignant
I164_Carp_S02	4	epithelial_malignant
I166_Carp_S02	4	epithelial_malignant
I170_Carp_S02	4	epithelial_malignant
I37_Carp_S02	1	epithelial
I38_Carp_S02	1	epithelial
I39_Carp_S02	1	epithelial
I49_Carp_S02	1	epithelial
I52_Carp_S02	1	epithelial
I54_Carp_S02	1	epithelial
I55_Carp_S02	1	epithelial
I58_Carp_S02	5	fibroblast
I60_Carp_S02	1	epithelial
I62_Carp_S02	1	epithelial
I64_Carp_S02	1	epithelial
I67_Carp_S02	0	myeloid
I75_Carp_S02	5	fibroblast
I79_Carp_S02	1	epithelial
I86_Carp_S02	1	epithelial
I88_Carp_S02	5	fibroblast
I92_Carp_S02	1	epithelial
I97_Carp_S02	1	epithelial
I99_Carp_S02	6	endothelial
C104_Carp_S03	1	epithelial
C10_Carp_S03	5	fibroblast
C110_Carp_S03	0	myeloid
C118_Carp_S03	2	myeloid
C121_Carp_S03	1	epithelial
C123_Carp_S03	1	epithelial
C12_Carp_S03	0	myeloid
C136_Carp_S03	0	myeloid
C140_Carp_S03	1	epithelial
C147_Carp_S03	1	epithelial
C151_Carp_S03	5	fibroblast
C161_Carp_S03	1	epithelial
C174_Carp_S03	3	lymphoid
C182_Carp_S03	1	epithelial
C186_Carp_S03	1	epithelial
C18_Carp_S03	0	myeloid
C191_Carp_S03	1	epithelial
C195_Carp_S03	5	fibroblast
C198_Carp_S03	0	myeloid
C207_Carp_S03	1	epithelial
