pseudo_bulk	cluster	annotation
C296_Hwang_SU3	5	fibroblast
C31_Hwang_SU3	4	epithelial_malignant
C88_Hwang_SU3	4	epithelial_malignant
I157_Hwang_SU3	4	epithelial_malignant
I18_Hwang_SU3	4	epithelial_malignant
I203_Hwang_SU3	4	epithelial_malignant
I23_Hwang_SU3	4	epithelial_malignant
I24_Hwang_SU3	1	epithelial
I25_Hwang_SU3	4	epithelial_malignant
I26_Hwang_SU3	4	epithelial_malignant
I29_Hwang_SU3	4	epithelial_malignant
I34_Hwang_SU3	4	epithelial_malignant
I43_Hwang_SU3	4	epithelial_malignant
C0_Hwang_SU4	1	epithelial
C122_Hwang_SU4	4	epithelial_malignant
C133_Hwang_SU4	0	myeloid
C143_Hwang_SU4	4	epithelial_malignant
C172_Hwang_SU4	4	epithelial_malignant
C205_Hwang_SU4	4	epithelial_malignant
C233_Hwang_SU4	4	epithelial_malignant
C42_Hwang_SU4	4	epithelial_malignant
C48_Hwang_SU4	4	epithelial_malignant
C58_Hwang_SU4	4	epithelial_malignant
C70_Hwang_SU4	4	epithelial_malignant
C74_Hwang_SU4	4	epithelial_malignant
C76_Hwang_SU4	5	fibroblast
C7_Hwang_SU4	4	epithelial_malignant
I101_Hwang_SU4	4	epithelial_malignant
I102_Hwang_SU4	4	epithelial_malignant
I103_Hwang_SU4	4	epithelial_malignant
I107_Hwang_SU4	4	epithelial_malignant
I120_Hwang_SU4	4	epithelial_malignant
I127_Hwang_SU4	4	epithelial_malignant
I132_Hwang_SU4	4	epithelial_malignant
I134_Hwang_SU4	4	epithelial_malignant
I141_Hwang_SU4	4	epithelial_malignant
I145_Hwang_SU4	4	epithelial_malignant
I150_Hwang_SU4	4	epithelial_malignant
I153_Hwang_SU4	4	epithelial_malignant
I157_Hwang_SU4	4	epithelial_malignant
I159_Hwang_SU4	4	epithelial_malignant
I160_Hwang_SU4	4	epithelial_malignant
I161_Hwang_SU4	4	epithelial_malignant
I164_Hwang_SU4	4	epithelial_malignant
I194_Hwang_SU4	4	epithelial_malignant
I198_Hwang_SU4	4	epithelial_malignant
I26_Hwang_SU4	4	epithelial_malignant
I57_Hwang_SU4	4	epithelial_malignant
I62_Hwang_SU4	4	epithelial_malignant
I81_Hwang_SU4	4	epithelial_malignant
I85_Hwang_SU4	4	epithelial_malignant
I88_Hwang_SU4	4	epithelial_malignant
C120_Hwang_SU5	1	epithelial
C156_Hwang_SU5	4	epithelial_malignant
C170_Hwang_SU5	0	myeloid
C203_Hwang_SU5	4	epithelial_malignant
C251_Hwang_SU5	6	endothelial
C262_Hwang_SU5	6	endothelial
C309_Hwang_SU5	2	myeloid
C333_Hwang_SU5	3	lymphoid
C88_Hwang_SU5	4	epithelial_malignant
C9_Hwang_SU5	3	lymphoid
I158_Hwang_SU5	5	fibroblast
I174_Hwang_SU5	5	fibroblast
I222_Hwang_SU5	4	epithelial_malignant
I261_Hwang_SU5	6	endothelial
I28_Hwang_SU5	4	epithelial_malignant
I33_Hwang_SU5	6	endothelial
I34_Hwang_SU5	0	myeloid
I37_Hwang_SU5	5	fibroblast
I38_Hwang_SU5	5	fibroblast
I39_Hwang_SU5	5	fibroblast
I41_Hwang_SU5	6	endothelial
I44_Hwang_SU5	5	fibroblast
I45_Hwang_SU5	3	lymphoid
I48_Hwang_SU5	5	fibroblast
I49_Hwang_SU5	5	fibroblast
I50_Hwang_SU5	5	fibroblast
I53_Hwang_SU5	5	fibroblast
I54_Hwang_SU5	5	fibroblast
I58_Hwang_SU5	5	fibroblast
I66_Hwang_SU5	5	fibroblast
I70_Hwang_SU5	6	endothelial
I76_Hwang_SU5	0	myeloid
C100_Hwang_SU6	4	epithelial_malignant
C111_Hwang_SU6	5	fibroblast
C116_Hwang_SU6	0	myeloid
C141_Hwang_SU6	3	lymphoid
C152_Hwang_SU6	0	myeloid
C16_Hwang_SU6	6	endothelial
C33_Hwang_SU6	4	epithelial_malignant
C50_Hwang_SU6	4	epithelial_malignant
C75_Hwang_SU6	6	endothelial
C78_Hwang_SU6	5	fibroblast
I113_Hwang_SU6	4	epithelial_malignant
I134_Hwang_SU6	6	endothelial
I21_Hwang_SU6	5	fibroblast
I24_Hwang_SU6	4	epithelial_malignant
I26_Hwang_SU6	1	epithelial
I30_Hwang_SU6	5	fibroblast
I33_Hwang_SU6	4	epithelial_malignant
I35_Hwang_SU6	4	epithelial_malignant
I36_Hwang_SU6	5	fibroblast
I39_Hwang_SU6	5	fibroblast
I41_Hwang_SU6	6	endothelial
I43_Hwang_SU6	4	epithelial_malignant
I45_Hwang_SU6	4	epithelial_malignant
I46_Hwang_SU6	4	epithelial_malignant
I55_Hwang_SU6	5	fibroblast
I58_Hwang_SU6	5	fibroblast
I60_Hwang_SU6	5	fibroblast
I72_Hwang_SU6	5	fibroblast
C108_Hwang_SU7	0	myeloid
C11_Hwang_SU7	4	epithelial_malignant
C25_Hwang_SU7	5	fibroblast
C31_Hwang_SU7	0	myeloid
C37_Hwang_SU7	1	epithelial
C60_Hwang_SU7	5	fibroblast
C62_Hwang_SU7	4	epithelial_malignant
C65_Hwang_SU7	3	lymphoid
C69_Hwang_SU7	3	lymphoid
C73_Hwang_SU7	3	lymphoid
C77_Hwang_SU7	5	fibroblast
I109_Hwang_SU7	4	epithelial_malignant
I24_Hwang_SU7	4	epithelial_malignant
I25_Hwang_SU7	4	epithelial_malignant
I27_Hwang_SU7	1	epithelial
I29_Hwang_SU7	6	endothelial
I31_Hwang_SU7	4	epithelial_malignant
I32_Hwang_SU7	3	lymphoid
I33_Hwang_SU7	4	epithelial_malignant
I34_Hwang_SU7	4	epithelial_malignant
I36_Hwang_SU7	4	epithelial_malignant
I46_Hwang_SU7	3	lymphoid
I62_Hwang_SU7	6	endothelial
I69_Hwang_SU7	5	fibroblast
I72_Hwang_SU7	5	fibroblast
I80_Hwang_SU7	5	fibroblast
I86_Hwang_SU7	4	epithelial_malignant
I87_Hwang_SU7	5	fibroblast
C149_Hwang_SU8	3	lymphoid
I1057_Hwang_SU8	6	endothelial
I1113_Hwang_SU8	4	epithelial_malignant
I119_Hwang_SU8	5	fibroblast
I121_Hwang_SU8	6	endothelial
I1388_Hwang_SU8	2	myeloid
I153_Hwang_SU8	3	lymphoid
I167_Hwang_SU8	5	fibroblast
I170_Hwang_SU8	4	epithelial_malignant
I195_Hwang_SU8	4	epithelial_malignant
I25_Hwang_SU8	5	fibroblast
I337_Hwang_SU8	5	fibroblast
I354_Hwang_SU8	5	fibroblast
I35_Hwang_SU8	0	myeloid
I36_Hwang_SU8	4	epithelial_malignant
I381_Hwang_SU8	5	fibroblast
I39_Hwang_SU8	5	fibroblast
I40_Hwang_SU8	6	endothelial
I41_Hwang_SU8	5	fibroblast
I42_Hwang_SU8	5	fibroblast
I44_Hwang_SU8	5	fibroblast
I45_Hwang_SU8	5	fibroblast
I49_Hwang_SU8	5	fibroblast
I50_Hwang_SU8	5	fibroblast
I52_Hwang_SU8	6	endothelial
I53_Hwang_SU8	4	epithelial_malignant
I55_Hwang_SU8	5	fibroblast
I581_Hwang_SU8	0	myeloid
I61_Hwang_SU8	5	fibroblast
I64_Hwang_SU8	5	fibroblast
I71_Hwang_SU8	3	lymphoid
I74_Hwang_SU8	5	fibroblast
I759_Hwang_SU8	6	endothelial
I941_Hwang_SU8	6	endothelial
C0_Hwang_SU9	4	epithelial_malignant
C28_Hwang_SU9	4	epithelial_malignant
C2_Hwang_SU9	6	endothelial
C35_Hwang_SU9	5	fibroblast
C52_Hwang_SU9	5	fibroblast
C58_Hwang_SU9	3	lymphoid
C60_Hwang_SU9	5	fibroblast
C67_Hwang_SU9	4	epithelial_malignant
C6_Hwang_SU9	5	fibroblast
C74_Hwang_SU9	5	fibroblast
C81_Hwang_SU9	0	myeloid
C82_Hwang_SU9	6	endothelial
C90_Hwang_SU9	6	endothelial
I18_Hwang_SU9	6	endothelial
I23_Hwang_SU9	4	epithelial_malignant
I44_Hwang_SU9	4	epithelial_malignant
I47_Hwang_SU9	4	epithelial_malignant
I49_Hwang_SU9	6	endothelial
I60_Hwang_SU9	4	epithelial_malignant
I63_Hwang_SU9	4	epithelial_malignant
I87_Hwang_SU9	6	endothelial
I98_Hwang_SU9	4	epithelial_malignant
C10_Zhang_S01YF	4	epithelial_malignant
C113_Zhang_S01YF	4	epithelial_malignant
C116_Zhang_S01YF	0	myeloid
C120_Zhang_S01YF	4	epithelial_malignant
C126_Zhang_S01YF	3	lymphoid
C133_Zhang_S01YF	4	epithelial_malignant
C147_Zhang_S01YF	2	myeloid
C157_Zhang_S01YF	4	epithelial_malignant
C165_Zhang_S01YF	4	epithelial_malignant
C168_Zhang_S01YF	4	epithelial_malignant
C177_Zhang_S01YF	5	fibroblast
C185_Zhang_S01YF	0	myeloid
C195_Zhang_S01YF	0	myeloid
C223_Zhang_S01YF	4	epithelial_malignant
C238_Zhang_S01YF	0	myeloid
C244_Zhang_S01YF	4	epithelial_malignant
C245_Zhang_S01YF	4	epithelial_malignant
C24_Zhang_S01YF	3	lymphoid
C257_Zhang_S01YF	4	epithelial_malignant
C259_Zhang_S01YF	4	epithelial_malignant
C288_Zhang_S01YF	4	epithelial_malignant
C293_Zhang_S01YF	4	epithelial_malignant
C34_Zhang_S01YF	4	epithelial_malignant
C47_Zhang_S01YF	4	epithelial_malignant
C48_Zhang_S01YF	5	fibroblast
C4_Zhang_S01YF	4	epithelial_malignant
C55_Zhang_S01YF	0	myeloid
C6_Zhang_S01YF	4	epithelial_malignant
C78_Zhang_S01YF	4	epithelial_malignant
C79_Zhang_S01YF	4	epithelial_malignant
C84_Zhang_S01YF	3	lymphoid
C88_Zhang_S01YF	4	epithelial_malignant
C90_Zhang_S01YF	4	epithelial_malignant
C96_Zhang_S01YF	4	epithelial_malignant
I101_Zhang_S01YF	4	epithelial_malignant
I104_Zhang_S01YF	4	epithelial_malignant
I113_Zhang_S01YF	4	epithelial_malignant
I121_Zhang_S01YF	4	epithelial_malignant
I122_Zhang_S01YF	4	epithelial_malignant
I130_Zhang_S01YF	4	epithelial_malignant
I131_Zhang_S01YF	4	epithelial_malignant
I132_Zhang_S01YF	4	epithelial_malignant
I138_Zhang_S01YF	4	epithelial_malignant
I140_Zhang_S01YF	4	epithelial_malignant
I145_Zhang_S01YF	4	epithelial_malignant
I148_Zhang_S01YF	4	epithelial_malignant
I153_Zhang_S01YF	4	epithelial_malignant
I167_Zhang_S01YF	4	epithelial_malignant
I170_Zhang_S01YF	3	lymphoid
I171_Zhang_S01YF	4	epithelial_malignant
I172_Zhang_S01YF	4	epithelial_malignant
I187_Zhang_S01YF	4	epithelial_malignant
I197_Zhang_S01YF	4	epithelial_malignant
I198_Zhang_S01YF	4	epithelial_malignant
I214_Zhang_S01YF	4	epithelial_malignant
I216_Zhang_S01YF	4	epithelial_malignant
I226_Zhang_S01YF	4	epithelial_malignant
I232_Zhang_S01YF	4	epithelial_malignant
I246_Zhang_S01YF	4	epithelial_malignant
I255_Zhang_S01YF	4	epithelial_malignant
I261_Zhang_S01YF	4	epithelial_malignant
I298_Zhang_S01YF	4	epithelial_malignant
I310_Zhang_S01YF	4	epithelial_malignant
I47_Zhang_S01YF	6	endothelial
I54_Zhang_S01YF	4	epithelial_malignant
I64_Zhang_S01YF	3	lymphoid
I76_Zhang_S01YF	4	epithelial_malignant
I79_Zhang_S01YF	4	epithelial_malignant
I80_Zhang_S01YF	4	epithelial_malignant
I81_Zhang_S01YF	4	epithelial_malignant
I82_Zhang_S01YF	4	epithelial_malignant
I83_Zhang_S01YF	4	epithelial_malignant
I85_Zhang_S01YF	4	epithelial_malignant
I92_Zhang_S01YF	4	epithelial_malignant
I93_Zhang_S01YF	4	epithelial_malignant
I95_Zhang_S01YF	4	epithelial_malignant
I97_Zhang_S01YF	4	epithelial_malignant
C107_Zhang_S01ZY	3	lymphoid
C114_Zhang_S01ZY	4	epithelial_malignant
C115_Zhang_S01ZY	0	myeloid
C116_Zhang_S01ZY	4	epithelial_malignant
C118_Zhang_S01ZY	0	myeloid
C122_Zhang_S01ZY	4	epithelial_malignant
C124_Zhang_S01ZY	4	epithelial_malignant
C130_Zhang_S01ZY	4	epithelial_malignant
C134_Zhang_S01ZY	0	myeloid
C136_Zhang_S01ZY	0	myeloid
C152_Zhang_S01ZY	3	lymphoid
C161_Zhang_S01ZY	3	lymphoid
C165_Zhang_S01ZY	0	myeloid
C18_Zhang_S01ZY	0	myeloid
C192_Zhang_S01ZY	0	myeloid
C194_Zhang_S01ZY	0	myeloid
C197_Zhang_S01ZY	5	fibroblast
C203_Zhang_S01ZY	3	lymphoid
C205_Zhang_S01ZY	4	epithelial_malignant
C21_Zhang_S01ZY	4	epithelial_malignant
C220_Zhang_S01ZY	0	myeloid
C223_Zhang_S01ZY	4	epithelial_malignant
C229_Zhang_S01ZY	2	myeloid
C22_Zhang_S01ZY	0	myeloid
C231_Zhang_S01ZY	4	epithelial_malignant
C23_Zhang_S01ZY	0	myeloid
C264_Zhang_S01ZY	0	myeloid
C278_Zhang_S01ZY	4	epithelial_malignant
C333_Zhang_S01ZY	4	epithelial_malignant
C335_Zhang_S01ZY	1	epithelial
C349_Zhang_S01ZY	4	epithelial_malignant
C371_Zhang_S01ZY	5	fibroblast
C380_Zhang_S01ZY	4	epithelial_malignant
C388_Zhang_S01ZY	0	myeloid
C392_Zhang_S01ZY	3	lymphoid
C398_Zhang_S01ZY	0	myeloid
C413_Zhang_S01ZY	3	lymphoid
C420_Zhang_S01ZY	4	epithelial_malignant
C441_Zhang_S01ZY	0	myeloid
C44_Zhang_S01ZY	4	epithelial_malignant
C451_Zhang_S01ZY	0	myeloid
C455_Zhang_S01ZY	4	epithelial_malignant
C461_Zhang_S01ZY	0	myeloid
C466_Zhang_S01ZY	0	myeloid
C46_Zhang_S01ZY	3	lymphoid
C472_Zhang_S01ZY	4	epithelial_malignant
C476_Zhang_S01ZY	4	epithelial_malignant
C477_Zhang_S01ZY	4	epithelial_malignant
C480_Zhang_S01ZY	4	epithelial_malignant
C486_Zhang_S01ZY	0	myeloid
C48_Zhang_S01ZY	4	epithelial_malignant
C492_Zhang_S01ZY	0	myeloid
C495_Zhang_S01ZY	2	myeloid
C500_Zhang_S01ZY	4	epithelial_malignant
C501_Zhang_S01ZY	0	myeloid
C504_Zhang_S01ZY	4	epithelial_malignant
C62_Zhang_S01ZY	2	myeloid
C6_Zhang_S01ZY	4	epithelial_malignant
C89_Zhang_S01ZY	3	lymphoid
C92_Zhang_S01ZY	3	lymphoid
C94_Zhang_S01ZY	0	myeloid
I105_Zhang_S01ZY	0	myeloid
I107_Zhang_S01ZY	4	epithelial_malignant
I113_Zhang_S01ZY	0	myeloid
I119_Zhang_S01ZY	4	epithelial_malignant
I120_Zhang_S01ZY	0	myeloid
I123_Zhang_S01ZY	0	myeloid
I125_Zhang_S01ZY	4	epithelial_malignant
I128_Zhang_S01ZY	0	myeloid
I135_Zhang_S01ZY	0	myeloid
I137_Zhang_S01ZY	0	myeloid
I146_Zhang_S01ZY	4	epithelial_malignant
I147_Zhang_S01ZY	0	myeloid
I148_Zhang_S01ZY	4	epithelial_malignant
I149_Zhang_S01ZY	0	myeloid
I150_Zhang_S01ZY	4	epithelial_malignant
I152_Zhang_S01ZY	0	myeloid
I166_Zhang_S01ZY	0	myeloid
I167_Zhang_S01ZY	4	epithelial_malignant
I170_Zhang_S01ZY	4	epithelial_malignant
I177_Zhang_S01ZY	4	epithelial_malignant
I185_Zhang_S01ZY	4	epithelial_malignant
I192_Zhang_S01ZY	4	epithelial_malignant
I195_Zhang_S01ZY	4	epithelial_malignant
I202_Zhang_S01ZY	4	epithelial_malignant
I206_Zhang_S01ZY	0	myeloid
I207_Zhang_S01ZY	4	epithelial_malignant
I208_Zhang_S01ZY	4	epithelial_malignant
I217_Zhang_S01ZY	0	myeloid
I218_Zhang_S01ZY	4	epithelial_malignant
I222_Zhang_S01ZY	4	epithelial_malignant
I234_Zhang_S01ZY	4	epithelial_malignant
I237_Zhang_S01ZY	0	myeloid
I246_Zhang_S01ZY	0	myeloid
I249_Zhang_S01ZY	4	epithelial_malignant
I251_Zhang_S01ZY	4	epithelial_malignant
I272_Zhang_S01ZY	4	epithelial_malignant
I275_Zhang_S01ZY	0	myeloid
I286_Zhang_S01ZY	4	epithelial_malignant
I296_Zhang_S01ZY	4	epithelial_malignant
I314_Zhang_S01ZY	4	epithelial_malignant
I338_Zhang_S01ZY	6	endothelial
I357_Zhang_S01ZY	3	lymphoid
I412_Zhang_S01ZY	4	epithelial_malignant
I423_Zhang_S01ZY	0	myeloid
I445_Zhang_S01ZY	0	myeloid
I458_Zhang_S01ZY	4	epithelial_malignant
I465_Zhang_S01ZY	4	epithelial_malignant
I46_Zhang_S01ZY	4	epithelial_malignant
I515_Zhang_S01ZY	4	epithelial_malignant
I61_Zhang_S01ZY	3	lymphoid
I83_Zhang_S01ZY	0	myeloid
I91_Zhang_S01ZY	0	myeloid
I92_Zhang_S01ZY	1	epithelial
I94_Zhang_S01ZY	0	myeloid
I95_Zhang_S01ZY	4	epithelial_malignant
I98_Zhang_S01ZY	4	epithelial_malignant
C12_Zhang_S02YF	5	fibroblast
C173_Zhang_S02YF	3	lymphoid
C188_Zhang_S02YF	3	lymphoid
C199_Zhang_S02YF	3	lymphoid
C203_Zhang_S02YF	0	myeloid
C234_Zhang_S02YF	3	lymphoid
C265_Zhang_S02YF	0	myeloid
C272_Zhang_S02YF	3	lymphoid
C291_Zhang_S02YF	0	myeloid
C304_Zhang_S02YF	4	epithelial_malignant
C315_Zhang_S02YF	3	lymphoid
C346_Zhang_S02YF	3	lymphoid
C395_Zhang_S02YF	0	myeloid
C434_Zhang_S02YF	3	lymphoid
C442_Zhang_S02YF	5	fibroblast
C447_Zhang_S02YF	5	fibroblast
C452_Zhang_S02YF	4	epithelial_malignant
C463_Zhang_S02YF	3	lymphoid
C46_Zhang_S02YF	3	lymphoid
C472_Zhang_S02YF	3	lymphoid
C490_Zhang_S02YF	3	lymphoid
C524_Zhang_S02YF	3	lymphoid
C561_Zhang_S02YF	3	lymphoid
C576_Zhang_S02YF	5	fibroblast
C578_Zhang_S02YF	2	myeloid
C601_Zhang_S02YF	3	lymphoid
C602_Zhang_S02YF	3	lymphoid
C625_Zhang_S02YF	0	myeloid
C66_Zhang_S02YF	3	lymphoid
C674_Zhang_S02YF	3	lymphoid
C688_Zhang_S02YF	3	lymphoid
I102_Zhang_S02YF	0	myeloid
I106_Zhang_S02YF	5	fibroblast
I111_Zhang_S02YF	5	fibroblast
I112_Zhang_S02YF	5	fibroblast
I121_Zhang_S02YF	5	fibroblast
I124_Zhang_S02YF	5	fibroblast
I130_Zhang_S02YF	0	myeloid
I132_Zhang_S02YF	5	fibroblast
I133_Zhang_S02YF	0	myeloid
I135_Zhang_S02YF	5	fibroblast
I137_Zhang_S02YF	0	myeloid
I138_Zhang_S02YF	6	endothelial
I141_Zhang_S02YF	0	myeloid
I142_Zhang_S02YF	0	myeloid
I143_Zhang_S02YF	5	fibroblast
I145_Zhang_S02YF	5	fibroblast
I150_Zhang_S02YF	0	myeloid
I153_Zhang_S02YF	4	epithelial_malignant
I155_Zhang_S02YF	0	myeloid
I156_Zhang_S02YF	5	fibroblast
I157_Zhang_S02YF	0	myeloid
I159_Zhang_S02YF	3	lymphoid
I161_Zhang_S02YF	5	fibroblast
I164_Zhang_S02YF	0	myeloid
I165_Zhang_S02YF	5	fibroblast
I168_Zhang_S02YF	3	lymphoid
I169_Zhang_S02YF	5	fibroblast
I181_Zhang_S02YF	0	myeloid
I182_Zhang_S02YF	5	fibroblast
I186_Zhang_S02YF	5	fibroblast
I191_Zhang_S02YF	5	fibroblast
I196_Zhang_S02YF	0	myeloid
I19_Zhang_S02YF	3	lymphoid
I203_Zhang_S02YF	5	fibroblast
I204_Zhang_S02YF	5	fibroblast
I206_Zhang_S02YF	5	fibroblast
I208_Zhang_S02YF	2	myeloid
I215_Zhang_S02YF	0	myeloid
I218_Zhang_S02YF	5	fibroblast
I226_Zhang_S02YF	5	fibroblast
I227_Zhang_S02YF	5	fibroblast
I230_Zhang_S02YF	5	fibroblast
I231_Zhang_S02YF	0	myeloid
I235_Zhang_S02YF	0	myeloid
I242_Zhang_S02YF	5	fibroblast
I261_Zhang_S02YF	0	myeloid
I273_Zhang_S02YF	2	myeloid
I276_Zhang_S02YF	5	fibroblast
I283_Zhang_S02YF	3	lymphoid
I287_Zhang_S02YF	6	endothelial
I299_Zhang_S02YF	0	myeloid
I29_Zhang_S02YF	3	lymphoid
I325_Zhang_S02YF	0	myeloid
I329_Zhang_S02YF	5	fibroblast
I343_Zhang_S02YF	4	epithelial_malignant
I358_Zhang_S02YF	0	myeloid
I359_Zhang_S02YF	5	fibroblast
I362_Zhang_S02YF	5	fibroblast
I366_Zhang_S02YF	0	myeloid
I376_Zhang_S02YF	5	fibroblast
I378_Zhang_S02YF	5	fibroblast
I392_Zhang_S02YF	5	fibroblast
I398_Zhang_S02YF	5	fibroblast
I413_Zhang_S02YF	0	myeloid
I418_Zhang_S02YF	5	fibroblast
I423_Zhang_S02YF	5	fibroblast
I428_Zhang_S02YF	5	fibroblast
I442_Zhang_S02YF	5	fibroblast
I447_Zhang_S02YF	5	fibroblast
I455_Zhang_S02YF	0	myeloid
I473_Zhang_S02YF	5	fibroblast
I485_Zhang_S02YF	5	fibroblast
I498_Zhang_S02YF	3	lymphoid
I519_Zhang_S02YF	5	fibroblast
I532_Zhang_S02YF	4	epithelial_malignant
I539_Zhang_S02YF	5	fibroblast
I552_Zhang_S02YF	5	fibroblast
I590_Zhang_S02YF	0	myeloid
I600_Zhang_S02YF	5	fibroblast
I613_Zhang_S02YF	3	lymphoid
I63_Zhang_S02YF	4	epithelial_malignant
I64_Zhang_S02YF	1	epithelial
I660_Zhang_S02YF	0	myeloid
I662_Zhang_S02YF	0	myeloid
I715_Zhang_S02YF	3	lymphoid
I72_Zhang_S02YF	5	fibroblast
I743_Zhang_S02YF	5	fibroblast
I85_Zhang_S02YF	5	fibroblast
I86_Zhang_S02YF	5	fibroblast
I97_Zhang_S02YF	0	myeloid
C104_Zhang_S02ZC	1	epithelial
C105_Zhang_S02ZC	1	epithelial
C122_Zhang_S02ZC	1	epithelial
C123_Zhang_S02ZC	1	epithelial
C128_Zhang_S02ZC	4	epithelial_malignant
C129_Zhang_S02ZC	1	epithelial
C12_Zhang_S02ZC	1	epithelial
C14_Zhang_S02ZC	1	epithelial
C150_Zhang_S02ZC	1	epithelial
C152_Zhang_S02ZC	1	epithelial
C17_Zhang_S02ZC	1	epithelial
C28_Zhang_S02ZC	6	endothelial
C29_Zhang_S02ZC	1	epithelial
C31_Zhang_S02ZC	1	epithelial
C33_Zhang_S02ZC	1	epithelial
C3_Zhang_S02ZC	1	epithelial
C40_Zhang_S02ZC	1	epithelial
C45_Zhang_S02ZC	1	epithelial
C50_Zhang_S02ZC	1	epithelial
C51_Zhang_S02ZC	1	epithelial
C58_Zhang_S02ZC	5	fibroblast
C69_Zhang_S02ZC	1	epithelial
C6_Zhang_S02ZC	1	epithelial
C89_Zhang_S02ZC	4	epithelial_malignant
C8_Zhang_S02ZC	1	epithelial
C94_Zhang_S02ZC	1	epithelial
I103_Zhang_S02ZC	1	epithelial
I105_Zhang_S02ZC	1	epithelial
I106_Zhang_S02ZC	1	epithelial
I114_Zhang_S02ZC	4	epithelial_malignant
I117_Zhang_S02ZC	1	epithelial
I127_Zhang_S02ZC	1	epithelial
I136_Zhang_S02ZC	1	epithelial
I25_Zhang_S02ZC	1	epithelial
I27_Zhang_S02ZC	1	epithelial
I37_Zhang_S02ZC	1	epithelial
I38_Zhang_S02ZC	1	epithelial
I47_Zhang_S02ZC	1	epithelial
I49_Zhang_S02ZC	1	epithelial
I53_Zhang_S02ZC	1	epithelial
I58_Zhang_S02ZC	1	epithelial
I60_Zhang_S02ZC	1	epithelial
I63_Zhang_S02ZC	1	epithelial
I64_Zhang_S02ZC	1	epithelial
I66_Zhang_S02ZC	1	epithelial
I67_Zhang_S02ZC	1	epithelial
I68_Zhang_S02ZC	1	epithelial
I69_Zhang_S02ZC	1	epithelial
I72_Zhang_S02ZC	4	epithelial_malignant
I74_Zhang_S02ZC	5	fibroblast
I77_Zhang_S02ZC	1	epithelial
I82_Zhang_S02ZC	1	epithelial
I87_Zhang_S02ZC	1	epithelial
C114_Zhang_S02ZY	3	lymphoid
C122_Zhang_S02ZY	3	lymphoid
C123_Zhang_S02ZY	2	myeloid
C138_Zhang_S02ZY	2	myeloid
C152_Zhang_S02ZY	6	endothelial
C17_Zhang_S02ZY	3	lymphoid
C198_Zhang_S02ZY	3	lymphoid
C199_Zhang_S02ZY	0	myeloid
C203_Zhang_S02ZY	3	lymphoid
C238_Zhang_S02ZY	2	myeloid
C244_Zhang_S02ZY	2	myeloid
C270_Zhang_S02ZY	2	myeloid
C313_Zhang_S02ZY	3	lymphoid
C330_Zhang_S02ZY	2	myeloid
C340_Zhang_S02ZY	3	lymphoid
C343_Zhang_S02ZY	3	lymphoid
C346_Zhang_S02ZY	4	epithelial_malignant
C352_Zhang_S02ZY	3	lymphoid
C363_Zhang_S02ZY	0	myeloid
C369_Zhang_S02ZY	4	epithelial_malignant
C371_Zhang_S02ZY	2	myeloid
C374_Zhang_S02ZY	3	lymphoid
C378_Zhang_S02ZY	2	myeloid
C37_Zhang_S02ZY	3	lymphoid
C43_Zhang_S02ZY	0	myeloid
C451_Zhang_S02ZY	2	myeloid
C453_Zhang_S02ZY	3	lymphoid
C518_Zhang_S02ZY	0	myeloid
C520_Zhang_S02ZY	0	myeloid
C9_Zhang_S02ZY	3	lymphoid
I104_Zhang_S02ZY	0	myeloid
I105_Zhang_S02ZY	0	myeloid
I109_Zhang_S02ZY	0	myeloid
I115_Zhang_S02ZY	0	myeloid
I126_Zhang_S02ZY	3	lymphoid
I130_Zhang_S02ZY	0	myeloid
I132_Zhang_S02ZY	6	endothelial
I133_Zhang_S02ZY	0	myeloid
I135_Zhang_S02ZY	4	epithelial_malignant
I137_Zhang_S02ZY	0	myeloid
I142_Zhang_S02ZY	6	endothelial
I143_Zhang_S02ZY	3	lymphoid
I144_Zhang_S02ZY	0	myeloid
I146_Zhang_S02ZY	0	myeloid
I150_Zhang_S02ZY	5	fibroblast
I152_Zhang_S02ZY	0	myeloid
I158_Zhang_S02ZY	4	epithelial_malignant
I161_Zhang_S02ZY	5	fibroblast
I162_Zhang_S02ZY	0	myeloid
I164_Zhang_S02ZY	3	lymphoid
I174_Zhang_S02ZY	0	myeloid
I184_Zhang_S02ZY	4	epithelial_malignant
I186_Zhang_S02ZY	6	endothelial
I197_Zhang_S02ZY	2	myeloid
I201_Zhang_S02ZY	0	myeloid
I202_Zhang_S02ZY	0	myeloid
I208_Zhang_S02ZY	6	endothelial
I213_Zhang_S02ZY	0	myeloid
I214_Zhang_S02ZY	0	myeloid
I226_Zhang_S02ZY	4	epithelial_malignant
I261_Zhang_S02ZY	3	lymphoid
I265_Zhang_S02ZY	4	epithelial_malignant
I283_Zhang_S02ZY	3	lymphoid
I317_Zhang_S02ZY	0	myeloid
I319_Zhang_S02ZY	4	epithelial_malignant
I31_Zhang_S02ZY	1	epithelial
I326_Zhang_S02ZY	0	myeloid
I331_Zhang_S02ZY	6	endothelial
I333_Zhang_S02ZY	0	myeloid
I377_Zhang_S02ZY	5	fibroblast
I404_Zhang_S02ZY	0	myeloid
I406_Zhang_S02ZY	0	myeloid
I465_Zhang_S02ZY	3	lymphoid
I46_Zhang_S02ZY	3	lymphoid
I492_Zhang_S02ZY	0	myeloid
I62_Zhang_S02ZY	0	myeloid
I63_Zhang_S02ZY	0	myeloid
I66_Zhang_S02ZY	0	myeloid
